order,species,family,locomotion,logmass,mig,hetero,abslat,latitude,diet,hemisphere,habitat_category,habitat_sub,mig.het1,mig.het2
Chiroptera,Taphozous_nudiventris,Emballonuridae,A,1.53,1,1,21.47,21.47,Insectivore,N,Savanna,GS,3,1
Carnivora,Ursus_americanus,Ursidae,T,5,1,1,54.25,54.25,Carnivore,N,Forest,BF,3,1
Carnivora,Ursus_arctos,Ursidae,T,5.31,1,1,57.96,57.96,Carnivore,N,Forest,BF,3,1
Chiroptera,Vespertilio_murinus,Vespertilionidae,A,1.27,1,1,49.88,49.88,Insectivore,N,Forest,BF,3,1
Diprotodontia,Acrobates_pygmaeus,Arcobatidae,T,1.08,0,1,28.53,-28.53,Herbivore,S,Forest,TEF,2,1
Rodentia,Aethomys_namaquensis,Muridae,T,1.69,0,1,24.15,-24.15,Omnivore,S,Forest,TEF,2,1
Afrosoricida,Amblysomus_hottentotus,Chrysochloridae,T,1.83,0,1,30.32,-30.32,Insectivore,S,Forest,TEF,2,1
Dasyuromorphia,Antechinus_flavipes,Dasyuridae,T,1.65,0,1,29.82,-29.82,Insectivore,S,Forest,TRF,2,1
Dasyuromorphia,Antechinus_stuartii,Dasyuridae,T,1.44,0,1,32.01,-32.01,Insectivore,S,Forest,TEF,2,1
Dasyuromorphia,Antechinus_swainsonii,Dasyuridae,T,1.72,0,1,35.69,-35.69,Insectivore,S,Forest,TEF,2,1
Erinaceomorpha,Atelerix_albiventris,Erinaceidae,T,2.78,0,1,6.99,6.99,Insectivore,N,Savanna,GS,2,1
Rodentia,Baiomys_taylori,Muridae,T,0.9,0,1,27.27,27.27,Omnivore,N,Forest,TEF,2,1
Diprotodontia,Burramys_parvus,Burramyidae,T,1.62,0,1,36.64,-36.64,Insectivore,S,Shrubland,TRS,2,1
Rodentia,Calomys_musculinus,Muridae,T,1.3,0,1,33.73,-33.73,Omnivore,S,Shrubland,TRS,2,1
Diprotodontia,Cercartetus_concinnus,Burramyidae,T,1.11,0,1,33.1,-33.1,Insectivore,S,Forest,TRF,2,1
Diprotodontia,Cercartetus_lepidus,Burramyidae,T,0.85,0,1,39.75,-39.75,Insectivore,S,Forest,TEF,2,1
Diprotodontia,Cercartetus_nanus,Burramyidae,T,1.38,0,1,35.92,-35.92,Insectivore,S,Forest,TEF,2,1
Rodentia,Chaetodipus_californicus,Heteromyidae,T,1.34,0,1,35.17,35.17,Herbivore,N,Shrubland,TES,2,1
Rodentia,Chaetodipus_fallax,Heteromyidae,T,1.27,0,1,31.63,31.63,Herbivore,N,Shrubland,TES,2,1
