species	logmass3	region3	migstatus3	locomotion3
Peromyscus_bullatus	1.6	subtropical	0	T
Peromyscus_boylii	1.33	subtropical	0	T
Peromyscus_aztecus	1.6	tropical	0	T
Peromyscus_attwateri	1.45	subtropical	0	T
Baiomys_taylori	0.9	subtropical	0	T
Baiomys_musculus	0.95	tropical	0	T
Ototylomys_phyllotis	2.08	tropical	0	T
Sigmodon_ochrognathus	2.09	subtropical	0	T
Sigmodon_mascotensis	2.08	tropical	0	T
Sigmodon_leucotis	2.13	tropical	0	T
Sigmodon_inopinatus	2.15	tropical	0	T
Sigmodon_hispidus	1.97	subtropical	0	T
Sigmodon_fulviventer	2.33	subtropical	0	T
Sigmodon_arizonae	2.3	subtropical	0	T
Sigmodon_alstoni	1.75	tropical	0	T
Sigmodon_alleni	2.25	tropical	0	T
Oxymycterus_rufus	1.88	subtropical	0	T
Oxymycterus_roberti	1.92	tropical	0	T
Oxymycterus_paramensis	1.62	tropical	0	T
Oxymycterus_nasutus	1.83	subtropical	0	T
Oxymycterus_inca	1.54	tropical	0	T
Oxymycterus_hucucha	1.83	tropical	0	T
Oxymycterus_hispidus	1.57	tropical	0	T
Oxymycterus_hiska	1.83	tropical	0	T
Oxymycterus_delator	1.91	tropical	0	T
Oxymycterus_angularis	1.83	tropical	0	T
Oxymycterus_akodontius	1.83	subtropical	0	T
Rattus_norvegicus	2.51	global	0	T
Rattus_tanezumi	1.94	tropical	0	T
Rattus_everetti	2.41	tropical	0	T
Rattus_baluensis	2.03	tropical	0	T
Rattus_argentiventer	2.12	tropical	0	T
Rattus_exulans	1.6	tropical	0	T
Rattus_annandalei	2.3	tropical	0	T
Rattus_steini	2.19	tropical	0	T
Rattus_praetor	2.29	tropical	0	T
Rattus_novaeguineae	2.12	tropical	0	T
Rattus_morotaiensis	2.17	tropical	0	T
Rattus_mordax	2.36	tropical	0	T
Rattus_leucopus	2.12	tropical	0	T
Rattus_jobiensis	2.58	tropical	0	T
Rattus_feliceus	2.49	tropical	0	T
Rattus_elaphinus	2.12	tropical	0	T
Rattus_villosissimus	2.13	tropical	0	T
Rattus_tunneyi	2.09	subtroptropical	0	T
Rattus_sordidus	2.2	tropical	0	T
Rattus_lutreolus	2.03	temperatesubtrop	0	T
Rattus_fuscipes	2.12	subtroptropical	0	T
Rattus_colletti	1.79	tropical	0	T
Praomys_tullbergi	1.53	tropical	0	T
Praomys_jacksoni	1.6	tropical	0	T
Nesokia_indica	2.25	subtroptropical	0	T
Pelomys_fallax	2.11	tropical	0	T
Maxomys_whiteheadi	1.76	tropical	0	T
Mastomys_natalensis	1.78	tropical	0	T
Hylomyscus_stella	1.28	tropical	0	T
Hylomyscus_denniae	1.56	tropical	0	T
Hylomyscus_alleni	1.3	tropical	0	T
Hylomyscus_aeta	1.3	tropical	0	T
Zyzomys_woodwardi	2.13	tropical	0	T
Zyzomys_pedunculatus	2	subtropical	0	T
Zyzomys_palatilis	2.09	tropical	0	T
Zyzomys_maini	1.97	tropical	0	T
Zyzomys_argurus	1.56	tropical	0	T
Mesembriomys_macrurus	2.43	tropical	0	T
Bandicota_indica	2.7	subtroptropical	0	T
Bandicota_bengalensis	2.18	tropical	0	T
Aethomys_kaiseri	1.69	tropical	0	T
Aethomys_hindei	1.95	tropical	0	T
Aethomys_granti	2	subtropical	0	T
Aethomys_chrysophilus	1.6	subtroptropical	0	T
Aethomys_bocagei	1.86	tropical	0	T
Lophuromys_melanonyx	1.01	tropical	0	T
Lophuromys_flavopunctatus	1.78	tropical	0	T
Ornithorhynchus_anatinus	3.17	temperatesubtrop	0	W
